7,0.0296985,2.0297,
13,0.059397,2.0594,
19,0.0890955,2.08874,
25,0.118794,2.11773,
31,0.148492,2.14637,
37,0.178191,2.17466,
43,0.207889,2.20259,
49,0.237588,2.23017,
55,0.267286,2.2574,
61,0.296985,2.28427,
67,0.326683,2.31079,
72,0.356382,2.33696,
79,0.38608,2.36277,
84,0.415779,2.38823,
91,0.445477,2.41334,
97,0.475176,2.43809,
102,0.504874,2.4625,
108,0.534573,2.48654,
114,0.564271,2.51024,
120,0.59397,2.53358,
127,0.623668,2.55657,
132,0.653367,2.5792,
138,0.683065,2.60149,
145,0.712764,2.62341,
151,0.742462,2.64499,
157,0.772161,2.66621,
163,0.801859,2.68708,
169,0.831558,2.7076,
175,0.861256,2.72776,
181,0.890955,2.74757,
186,0.920653,2.76703,
193,0.950352,2.78613,
198,0.98005,2.80488,
204,1.00975,2.82328,
210,1.03945,2.84132,
216,1.06915,2.85902,
223,1.09884,2.87635,
228,1.12854,2.89334,
235,1.15824,2.90997,
241,1.18794,2.92625,
247,1.21764,2.94217,
253,1.24734,2.95775,
259,1.27703,2.97296,
265,1.30673,2.98783,
271,1.33643,3.00234,
277,1.36613,3.0165,
283,1.39583,3.03031,
289,1.42553,3.04376,
295,1.45523,3.05686,
301,1.48492,3.06961,
307,1.51462,3.082,
313,1.54432,3.09404,
319,1.57402,3.10573,
325,1.60372,3.11706,
331,1.63342,3.12804,
337,1.66312,3.13867,
343,1.69281,3.14895,
349,1.72251,3.15887,
355,1.75221,3.16844,
361,1.78191,3.17765,
367,1.81161,3.18651,
373,1.84131,3.19502,
379,1.871,3.20318,
385,1.9007,3.21098,
391,1.9304,3.21843,
397,1.9601,3.22553,
403,1.9898,3.23227,
409,2.0195,3.23866,
415,2.0492,3.2447,
421,2.07889,3.25038,
427,2.10859,3.25571,
433,2.13829,3.26069,
439,2.16799,3.26531,
445,2.19769,3.26958,
451,2.22739,3.2735,
457,2.25708,3.27707,
463,2.28678,3.28028,
469,2.31648,3.28314,
475,2.34618,3.28564,
481,2.37588,3.28779,
487,2.40558,3.28959,
493,2.43528,3.29104,
499,2.46497,3.29213,
505,2.49467,3.29287,
511,2.52437,3.29326,
517,2.55407,3.29329,
523,2.58377,3.29297,
529,2.61347,3.2923,
535,2.64317,3.29127,
541,2.67286,3.28989,
547,2.70256,3.28816,
553,2.73226,3.28607,
559,2.76196,3.28363,
565,2.79166,3.28084,
571,2.82136,3.27769,
577,2.85105,3.2742,
583,2.88075,3.27034,
589,2.91045,3.26614,
595,2.94015,3.26158,
601,2.96985,3.25667,
607,2.99955,3.2514,
613,3.02925,3.24579,
619,3.05894,3.23982,
625,3.08864,3.23349,
631,3.11834,3.22682,
637,3.14804,3.21979,
643,3.17774,3.2124,
649,3.20744,3.20467,
655,3.23713,3.19658,
661,3.26683,3.18813,
667,3.29653,3.17934,
673,3.32623,3.17019,
679,3.35593,3.16069,
685,3.38563,3.15083,
691,3.41533,3.14062,
697,3.44502,3.13006,
703,3.47472,3.11915,
709,3.50442,3.10788,
715,3.53412,3.09626,
721,3.56382,3.08428,
727,3.59352,3.07195,
733,3.62322,3.05927,
739,3.65291,3.04624,
745,3.68261,3.03285,
751,3.71231,3.01911,
757,3.74201,3.00502,
763,3.77171,2.99057,
769,3.80141,2.97577,
775,3.8311,2.96062,
781,3.8608,2.94511,
787,3.8905,2.92925,
793,3.9202,2.91304,
799,3.9499,2.89648,
805,3.9796,2.87956,
811,4.0093,2.86229,
817,4.03899,2.84466,
823,4.06869,2.82668,
829,4.09839,2.80835,
835,4.12809,2.78967,
841,4.15779,2.77063,
847,4.18749,2.75124,
853,4.21718,2.7315,
859,4.24688,2.7114,
865,4.27658,2.69095,
871,4.30628,2.67014,
877,4.33598,2.64899,
883,4.36568,2.62748,
889,4.39538,2.60562,
895,4.42507,2.5834,
901,4.45477,2.56083,
907,4.48447,2.53791,
913,4.51417,2.51463,
919,4.54387,2.491,
925,4.57357,2.46702,
931,4.60327,2.44269,
937,4.63296,2.418,
943,4.66266,2.39296,
949,4.69236,2.36756,
955,4.72206,2.34182,
961,4.75176,2.31571,
967,4.78146,2.28926,
973,4.81115,2.26245,
979,4.84085,2.23529,
985,4.87055,2.20778,
991,4.90025,2.17991,
997,4.92995,2.15169,
1003,4.95965,2.12312,
1009,4.98935,2.09419,
1015,5.01904,2.06492,
1021,5.04874,2.03528,
1027,5.07844,2.0053,
1033,5.10814,1.97496,
1039,5.13784,1.94427,
1045,5.16754,1.91322,
1051,5.19723,1.88182,
1057,5.22693,1.85007,
1063,5.25663,1.81797,
1069,5.28633,1.78551,
1075,5.31603,1.7527,
1081,5.34573,1.71954,
1087,5.37543,1.68602,
1093,5.40512,1.65215,
1099,5.43482,1.61792,
1105,5.46452,1.58335,
1111,5.49422,1.54842,
1117,5.52392,1.51313,
1123,5.55362,1.4775,
1129,5.58332,1.44151,
1135,5.61301,1.40517,
1141,5.64271,1.36847,
1147,5.67241,1.33142,
1153,5.70211,1.29402,
1159,5.73181,1.25627,
1165,5.76151,1.21816,
1171,5.7912,1.1797,
1177,5.8209,1.14088,
1183,5.8506,1.10171,
1189,5.8803,1.06219,
1195,5.91,1.02232,
1201,5.9397,0.982092,
1207,5.9694,0.941511,
1213,5.99909,0.900578,
1219,6.02879,0.859291,
1225,6.05849,0.817651,
1231,6.08819,0.775658,
1237,6.11789,0.733312,
1243,6.14759,0.690613,
1249,6.17728,0.64756,
1255,6.20698,0.604155,
1261,6.23668,0.560396,
1267,6.26638,0.516284,
1273,6.29608,0.471819,
1279,6.32578,0.427001,
1285,6.35548,0.381829,
1291,6.38517,0.336305,
1297,6.41487,0.290427,
1303,6.44457,0.244196,
1309,6.47427,0.197612,
1315,6.50397,0.150675,
1321,6.53367,0.103384,
1327,6.56337,0.0557407,
1333,6.59306,0.00774403,
1339,6.62276,-0.0406058,
